Id,Name,Address,City,State,Division,Major Group,Industry Group,SIC,Description
2215,Stein Ltd,220 Mooney Shoals,East James,Kentucky,G,58.0,581.0,5813.0,Drinking Places (alcoholic Beverages)
2216,Day-Young,704 Leslie Manors,Smithshire,Nebraska,D,31.0,317.0,3171.0,Women's Handbags and Purses
2217,Gilmore LLC,8415 Sharon Point Suite 272,Rosalesburgh,Wisconsin,D,24.0,,2426.0,Hardwood Dimension and Flooring Mills
2218,Wilson-Brock,591 Ramos Inlet Suite 686,Martinezburgh,Vermont,D,23.0,232.0,2323.0,Men's and Boys' Neckwear
2219,Ross-Taylor,128 Natasha Square Suite 446,Stewartborough,Ohio,F,50.0,509.0,5093.0,Scrap and Waste Materials
2220,Weaver-Watkins,569 Kristina Springs,Dominiqueland,Idaho,D,38.0,382.0,3823.0,"Industrial Instruments for Measurement, Display, and Control of Process Variables; and Related Products"
2221,Estrada-Le,22082 Schultz Row,Johnmouth,Illinois,E,44.0,449.0,4492.0,Towing and Tugboat Services
2222,Brown-Delgado,55013 Smith Station Suite 789,Rebeccamouth,North Carolina,I,80.0,805.0,8052.0,Intermediate Care Facilities
2223,"Mitchell, Martinez and Beasley",12082 Christina Burgs Apt. 355,Williamsville,Arkansas,G,57.0,572.0,5722.0,Household Appliance Stores
2224,Bird Ltd,3175 Russell Underpass Suite 216,West Jason,Montana,I,82.0,822.0,8221.0,"Colleges, Universities, and Professional Schools"
2225,Smith-Pope,262 Dennis Islands,West Masonside,Pennsylvania,D,27.0,275.0,2754.0,"Commercial Printing, Gravure"
2226,"Oneal, Garcia and Murphy",201 Kevin Island Suite 585,Sullivantown,Tennessee,I,73.0,737.0,7378.0,Computer Maintenance and Repair
2227,"Taylor, Franco and Davenport",0117 Alison Roads Apt. 366,Ballmouth,Maine,I,73.0,738.0,7381.0,"Detective, Guard, and Armored Car Services"
2228,Wilson-Guzman,1920 Lisa Island,Lake Valerieburgh,Louisiana,F,51.0,517.0,5171.0,Petroleum Bulk stations and Terminals
2229,"Lawson, Warren and Arnold",4706 Karen Walks,West Larry,Nevada,D,25.0,251.0,2519.0,"Household Furniture, Not Elsewhere Classified"
2230,Wells-Flores,827 Rowe Harbors,Joeborough,Arizona,D,35.0,359.0,3599.0,"Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified"
2231,Strong-Schmidt,2886 Jamie Pass,Port Stephanieport,Utah,I,70.0,704.0,7041.0,"Organization Hotels and Lodging Houses, on Membership Basis"
2232,Jennings Group,89371 Daniel Loop Apt. 506,Lopezborough,Vermont,I,79.0,794.0,7948.0,"Racing, Including Track Operation"
2233,Jones-Blackwell,3527 Meyer Island Suite 005,East Kristen,Indiana,D,28.0,287.0,2874.0,Phosphatic Fertilizers
2234,"Thompson, Cohen and Davila",4733 Sarah Green Suite 425,Smithville,Illinois,I,73.0,737.0,7378.0,Computer Maintenance and Repair
2235,Gonzales-Johnson,0755 Eric Neck,Ibarrachester,Utah,D,35.0,356.0,3569.0,
2236,Mayer-White,477 Robin Stream Apt. 957,Port Danielview,Ohio,D,25.0,251.0,2511.0,"Wood Household Furniture, Except Upholstered"
2237,Jones-Mata,13888 Elizabeth Causeway Apt. 650,Cruzland,South Dakota,D,38.0,382.0,3823.0,"Industrial Instruments for Measurement, Display, and Control of Process Variables; and Related Products"
2238,Moore LLC,7024 Julie Trail,Lake Juliabury,Rhode Island,D,36.0,369.0,3699.0,"Electrical Machinery, Equipment, and Supplies, Not Elsewhere"
2239,Evans-Cardenas,858 Jackson Prairie,South Alex,West Virginia,F,50.0,502.0,5021.0,Furniture
2240,Stewart-Warner,6561 John Brook,North Michaelbury,Pennsylvania,D,33.0,336.0,3365.0,Aluminum Foundries
2241,Spencer Ltd,77905 Romero Forest,North Elizabeth,Oregon,I,89.0,,8999.0,"Services, Not Elsewhere Classified"
2242,Smith and Sons,989 Miller Overpass Suite 365,South Erictown,Utah,B,14.0,144.0,1446.0,Industrial Sand
2243,"Ball, Wilson and Lawson",78554 Taylor Terrace,Hardytown,Kansas,A,1.0,13.0,131.0,Cotton
2244,"Stewart, Baldwin and Cook",979 Koch Key,Moodytown,Michigan,I,79.0,794.0,7941.0,Professional Sports Clubs and Promoters
2245,Kerr LLC,6275 Jenkins Parks Apt. 520,South Ronniestad,Massachusetts,D,20.0,204.0,2048.0,"Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats"
2246,Vasquez-Vega,36250 Henry Turnpike,Watsonfort,Iowa,D,36.0,364.0,,"Commercial, Industrial, and Institutional Electric Lighting Fixtures"
2247,"Nguyen, Moore and Brown",64777 Jason Lodge,Ramoshaven,Kansas,D,23.0,231.0,2311.0,"Men's and Boys' Suits, Coats, and Overcoats"
2248,"David, Carter and Phillips",9409 Tracy Light Apt. 923,West Michelle,New York,D,25.0,254.0,2541.0,"Wood Office and Store Fixtures, Partitions, Shelving, and Lockers"
2249,Crane-Smith,30096 Kenneth Skyway Suite 416,East Robert,Missouri,D,38.0,384.0,3844.0,X-Ray Apparatus and Tubes and Related Irradiation Apparatus
2250,Burns-Bailey,1566 Greg Neck Suite 974,New Steve,Louisiana,D,26.0,263.0,2631.0,Paperboard Mills
2251,Griffin PLC,179 Natalie Forge Apt. 977,Pittmanstad,Idaho,G,55.0,552.0,5521.0,Motor Vehicle Dealers (Used Only)
2252,"Fisher, French and Hill",694 Bryan Pine Apt. 509,Nicholsborough,California,I,84.0,841.0,8412.0,Museums and Art Galleries
2253,Miranda-Richardson,7019 Rivera Causeway,West Stephanieshire,Iowa,D,33.0,332.0,3322.0,Malleable Iron Foundries
2254,"Campbell, Lopez and Lang",,New Thomas,Utah,G,54.0,542.0,5421.0,"Meat and Fish (Seafood) Markets, Including Freezer Provisioners"
2255,Ballard PLC,5017 Schultz Crest,Lake Brian,Ohio,D,35.0,356.0,3564.0,Industrial and Commercial Fans and Blowers and Air Purification Equipment
2256,"Davis, Ross and Alvarez",551 Kimberly Track,East Christopher,Florida,D,23.0,232.0,2325.0,Men's and Boys' Separate Trousers and Slacks
2257,Jackson-Bryant,22921 Rodgers Terrace,East Thomasburgh,Louisiana,D,22.0,224.0,2241.0,"Narrow Fabric and Other Smallware Mills: Cotton, Wool, Silk, and Manmade Fiber"
2258,Thompson-Myers,466 Jason Shores Apt. 315,Lake Joshuashire,,D,35.0,354.0,3544.0,"Special Dies and Tools, Die Sets, Jigs and Fixtures, and Industrial Molds"
2259,Tate-Gonzalez,8825 Salinas Field,Bradleyhaven,Connecticut,G,57.0,571.0,5719.0,Miscellaneous home furnishings Stores
2260,,0773 Boyd Tunnel Apt. 435,South Moniqueside,Arkansas,D,35.0,359.0,3593.0,Fluid Power Cylinders and Actuators
2261,Yang and Sons,15986 Michael Walks,Port Joshuaview,Idaho,I,,733.0,7338.0,Secretarial and Court Reporting Services
2262,Clark-Patterson,806 Holland Shores Apt. 316,Katieside,Massachusetts,C,17.0,179.0,1791.0,Structural Steel Erection
2263,Bradley and Sons,5084 David Tunnel,Morrisonfurt,Oregon,B,13.0,131.0,1311.0,Crude Petroleum and Natural Gas
2264,"Johnson, Chavez and Taylor",189 Miguel Well,North Rachelport,Arizona,D,26.0,265.0,2652.0,Setup Paperboard Boxes
2265,"David, Griffin and Harris",963 Chelsey Track Apt. 517,West April,Wyoming,C,17.0,173.0,1731.0,Electrical Work
2266,"Harris, Melton and Anderson",494 Anderson Road,South Kaitlyn,Arizona,H,67.0,673.0,6732.0,"Educational, Religious, and Charitable Trusts"
2267,Stewart PLC,0031 Garrett Hill Suite 920,Perryberg,Virginia,F,51.0,515.0,5154.0,Livestock
2268,,404 Christopher Grove Apt. 236,Stephenton,South Carolina,D,23.0,238.0,2389.0,"Apparel and Accessories, Not Elsewhere Classified"
2269,Castro Ltd,27641 Melinda Pine Suite 410,South Lawrenceburgh,Hawaii,G,58.0,581.0,5812.0,Eating Places
2270,Willis LLC,09658 Rivera Fall,West Paul,Montana,F,51.0,516.0,5169.0,"Chemicals and Allied Products, Not Elsewhere Classified"
2271,"Nguyen, Carrillo and Webb",,South Yolanda,Wisconsin,D,31.0,316.0,3161.0,Luggage
2272,Lee-Medina,792 Pollard Isle Suite 006,West Michelle,Indiana,H,65.0,651.0,6519.0,"Lessors of Real Property, Not Elsewhere Classified"
2273,Andersen-Howell,215 Kayla Corner,North Josephport,Ohio,I,73.0,738.0,7389.0,"Business Services, Not Elsewhere Classified"
2274,Lawson PLC,10340 Johnson Village,East Carlos,Tennessee,D,28.0,283.0,2834.0,Pharmaceutical Preparations
2275,Hunt and Sons,737 Wilson Roads,Lake Kennethside,Idaho,F,50.0,508.0,5087.0,
2276,Rodriguez Group,118 Richard Wall,South Kevinmouth,California,D,24.0,242.0,2421.0,"Sawmills and Planing Mills, General"
2277,Lang Group,30654 Rita Shores Apt. 578,Port Teresa,Nevada,D,26.0,267.0,2671.0,"Packaging Paper and Plastics Film, Coated and Laminated"
2278,Cole LLC,946 Reyes Meadow Apt. 798,South Justinborough,Tennessee,D,20.0,208.0,2086.0,Bottled and Canned Soft Drinks and Carbonated Waters
2279,Wilson and Sons,,North Mary,Virginia,D,35.0,353.0,3533.0,Oil and Gas Field Machinery and Equipment
2280,Hawkins-Carey,057 Christopher Mountains Suite 942,Chadton,Missouri,C,16.0,162.0,1623.0,"Water, Sewer, Pipeline, and Communications and Power Line Construction"
2281,Mcmahon Inc,164 Cortez Island,Jenniferfurt,Maine,D,26.0,262.0,2621.0,Paper Mills
2282,"Landry, Heath and Griffith",928 Kendra Streets,Tonyaburgh,Tennessee,D,24.0,242.0,2429.0,"Special Product Sawmills, Not Elsewhere Classified"
2283,Wilson-Freeman,153 Nelson Canyon Apt. 599,Morrisonborough,Kentucky,D,22.0,222.0,2221.0,"Broadwoven Fabric Mills, Manmade Fiber and Silk"
2284,Ponce PLC,37575 Ford Route,Hayeshaven,Arkansas,I,80.0,806.0,8069.0,"Specialty Hospitals, Except Psychiatric"
2285,Johnson-Boyd,5098 Frederick Lights,East Melissaport,Michigan,I,76.0,,7622.0,Radio and Television Repair Shops
2286,Kent-Fischer,029 Smith Fork,Westmouth,Georgia,I,86.0,862.0,8621.0,Professional Membership Organizations
2287,Smith-Green,600 Tiffany Falls Suite 737,New James,,J,96.0,965.0,9651.0,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
2288,Wilson and Sons,72950 Jessica Cape Apt. 693,,Connecticut,D,32.0,323.0,3231.0,"Glass Products, Made of Purchased Glass"
2289,Calhoun-Clark,073 Heather Trail,Mccallland,Wyoming,I,79.0,792.0,7929.0,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups"
2290,Ramirez-Sullivan,89913 Hayes Ridges Apt. 750,,South Dakota,D,35.0,356.0,3568.0,"Mechanical Power Transmission Equipment, Not Elsewhere Classified"
2291,"Mendez, Bradley and Andrade",086 Carter Mountain Apt. 571,Chelseaville,Louisiana,A,1.0,19.0,191.0,"General Farms, Primarily Crop"
2292,Green-Key,09133 Lewis Wells,South Sean,Mississippi,G,55.0,553.0,5531.0,Auto and Home Supply Stores
2293,"Wolf, Barber and Williams",98553 Vanessa Drives,Reyesport,New York,G,59.0,599.0,5995.0,Optical Goods Stores
2294,Vega Ltd,12506 Torres Rest,,Nevada,I,70.0,703.0,7033.0,Recreational Vehicle Parks and Campsites
2295,Herrera Group,25458 Tyler Harbors,Lauraville,Arizona,I,72.0,721.0,7216.0,"Drycleaning Plants, Except Rug Cleaning"
2296,Shaw LLC,3104 Flores Isle Suite 022,Brownchester,New Hampshire,I,75.0,751.0,7515.0,Passenger Car Leasing
2297,Matthews Ltd,6921 Ryan Overpass,Gregport,Connecticut,H,60.0,603.0,6036.0,"Savings Institutions, Not Federally Chartered"
2298,"Flynn, Hall and Noble",,Mooreport,Nebraska,D,37.0,371.0,3716.0,Motor Homes
2299,Austin-Ferguson,3031 Alexander Alley Apt. 471,East Sheilachester,West Virginia,H,65.0,651.0,6514.0,Operators of Dwellings Other Than Apartment Buildings
2300,Barton-Soto,596 King Oval,Port Jennifer,Kentucky,A,2.0,25.0,259.0,"Poultry and Eggs, Not Elsewhere Classified"
2301,Bell PLC,698 Boyd Orchard Apt. 069,West Adambury,Louisiana,J,91.0,919.0,9199.0,"General Government, Not Elsewhere Classified"
2302,"Porter, Lloyd and Brown",375 Santiago Drives,New Paulport,New Hampshire,D,39.0,391.0,3911.0,"Jewelry, Precious Metal"
2303,Kent Ltd,41737 Brown Causeway,Debraville,Colorado,D,35.0,357.0,3575.0,Computer Terminals
2304,"White, Simpson and Nelson",,South Theresa,,D,22.0,225.0,2253.0,Knit Outerwear Mills
2305,"Horn, Espinoza and Watkins",7063 Douglas Courts,Jeffreyville,Oregon,D,34.0,349.0,3493.0,"Steel Springs, Except Wire"
2306,Peterson and Sons,48581 Pamela Haven Apt. 394,West Lisashire,California,D,36.0,367.0,3676.0,Electronic Resistors
2307,Jones and Sons,980 Jennifer Walk,South Alanview,Idaho,I,79.0,791.0,7911.0,"Dance Studios, Schools, and Halls"
2308,Miranda LLC,98448 Mcdonald Ports,Lake Sean,New Jersey,D,24.0,249.0,2499.0,"Wood Products, Not Elsewhere Classified"
2309,Thompson-Smith,2709 Denise Stravenue,North Joseph,Wyoming,D,20.0,204.0,2044.0,Rice Milling
2310,Parrish PLC,411 Scott Freeway Suite 847,,Maryland,D,36.0,362.0,3624.0,Carbon and Graphite Products
2311,Williams LLC,81111 Nicole Vista,Parkerstad,New Mexico,I,87.0,873.0,8732.0,"Commercial Economic, Sociological, and Educational Research"
2312,"Tran, Farmer and Carlson",65695 Rachel Isle Apt. 077,Wheelerland,Minnesota,D,28.0,281.0,2812.0,Alkalies and Chlorine
2313,"Barrett, Shaw and Valdez",8633 John Wells Suite 878,East Sandraburgh,Michigan,H,60.0,606.0,6061.0,"Credit Unions, Federally Chartered"
2314,Powell Ltd,789 Stone Springs Suite 277,North Steven,South Dakota,I,76.0,762.0,7623.0,Refrigeration and Air-Conditioning Service and Repair Shops
2315,"Lloyd, Howell and Barker",468 Natalie Fork Suite 794,Nguyenshire,Florida,B,13.0,131.0,1311.0,Crude Petroleum and Natural Gas
2316,Torres-Palmer,3952 Nicole Isle,North Vincent,South Dakota,D,,331.0,3316.0,"Cold-Rolled Steel Sheet, Strip, and Bars"
2317,"Spencer, Pierce and Rodriguez",730 Eric Estate,Wilsonside,Tennessee,A,7.0,78.0,783.0,Ornamental Shrub and Tree Services
2318,Casey-Hernandez,9300 Johnson Station Suite 643,Lake Sharon,Idaho,D,22.0,229.0,2296.0,Tire Cord and Fabrics
2319,"Romero, Garcia and Smith",39198 Ho Brooks Apt. 099,Davisbury,Mississippi,D,27.0,275.0,2752.0,"Commercial Printing, Lithographic"
2320,King and Sons,306 Stephanie Squares Suite 888,Walkerbury,Texas,D,34.0,343.0,3431.0,Enameled Iron and Metal Sanitary Ware
2321,George Inc,670 Russell Street,North Ashley,Mississippi,D,38.0,385.0,3851.0,Ophthalmic Goods
2322,"Armstrong, Wilson and Martinez",9174 Garza Wells,North Lisa,Indiana,D,35.0,353.0,3535.0,Conveyors and Conveying Equipment
2323,Reed LLC,414 Kathleen Inlet,Millerhaven,Vermont,I,83.0,836.0,8361.0,Residential Care
2324,Weaver-Ball,4492 Adams Turnpike,Sandratown,New Mexico,D,38.0,385.0,3851.0,Ophthalmic Goods
2325,"Brown, Cooper and Barton",60405 Paul Trail Apt. 922,Janeland,,D,30.0,302.0,3021.0,Rubber and Plastics Footwear
2326,"Hernandez, George and Thompson",118 Rodriguez Centers,Ryanburgh,South Carolina,E,40.0,401.0,4013.0,Railroad Switching and Terminal Establishments
2327,Duncan-Edwards,78311 Susan Coves,Nelsonmouth,Delaware,D,35.0,355.0,3559.0,"Special Industry Machinery, Not Elsewhere Classified"
2328,"Smith, Vasquez and Goodwin",5867 Roberto Glens,Anneside,New Jersey,I,82.0,829.0,8299.0,"Schools and Educational Services, Not Elsewhere Classified"
2329,"Miller, Yu and Morgan",338 Wendy Forges,Johnsontown,Maryland,D,25.0,252.0,2522.0,"Office Furniture, Except Wood"
2330,"Nguyen, Manning and West",457 Joseph Alley Apt. 228,Catherineburgh,Alabama,I,72.0,723.0,7231.0,Beauty Shops
2331,Munoz LLC,981 Wood Streets Apt. 257,Marychester,Arkansas,D,23.0,232.0,2326.0,
2332,Scott LLC,39385 Joshua Road Suite 655,Justinside,Iowa,G,59.0,594.0,5946.0,Camera and Photographic Supply Stores
2333,Valenzuela PLC,4232 Joseph Circles Apt. 314,Lake Frederickberg,Delaware,D,34.0,348.0,3483.0,"Ammunition, Except for Small Arms"
2334,Smith-Barrett,8784 Henry Canyon,Wadetown,Iowa,D,36.0,364.0,3643.0,Current-Carrying Wiring Devices
2335,Boone Group,08866 Rachel Knolls Apt. 317,Lake Joseph,Alabama,A,7.0,72.0,721.0,"Crop Planting, Cultivating, and Protecting"
2336,Lane Ltd,57868 Harvey Camp,,Mississippi,F,50.0,507.0,5074.0,Plumbing and Heating Equipment and Supplies (Hydronics)
2337,Allen Group,88118 Alison Mews,Velezton,Colorado,E,49.0,492.0,4922.0,Natural Gas Transmission
2338,"Nichols, Gross and Boone",,Hayesfort,Texas,H,62.0,623.0,6231.0,Security and Commodity Exchanges
2339,Miller and Sons,9881 Michael Overpass,Jonesborough,Arizona,F,50.0,509.0,5099.0,"Durable Goods, Not Elsewhere Classified"
2340,Phillips-Smith,6116 Scott Curve Suite 637,Higginsstad,Colorado,J,91.0,913.0,9131.0,Executive and Legislative Offices Combined
2341,Hardy-Leach,73215 Christopher Fields Suite 751,Port Sandra,New Jersey,D,29.0,291.0,2911.0,Petroleum Refining
2342,Miller LLC,4311 Gray Summit Suite 529,West Jessicashire,Massachusetts,E,44.0,449.0,4493.0,Marinas
2343,Johnson LLC,26380 Mays Squares Suite 543,South Christopher,Washington,D,35.0,359.0,3593.0,Fluid Power Cylinders and Actuators
2344,Cunningham Ltd,58476 Pamela Park,Mayview,Washington,I,78.0,784.0,7841.0,Video Tape Rental
2345,"Mclaughlin, Bates and Morris",235 Anthony Knoll,Deannafurt,Mississippi,F,50.0,501.0,5015.0,"Motor Vehicle Parts, Used"
2346,"Hartman, Morris and Jenkins",72676 Owen Fort Suite 093,Hopkinsbury,Missouri,F,50.0,504.0,,Computers and Computer Peripheral Equipment and Software
2347,Blackwell-Cox,1197 Antonio Mountain,Edwardsmouth,New Hampshire,D,35.0,,3572.0,Computer Storage Devices
2348,"Adams, Johnson and Gonzales",968 Barron Turnpike Suite 824,Tonyaberg,Minnesota,F,50.0,504.0,5048.0,Ophthalmic Goods
2349,Harper-Calderon,74054 Johnson Dale Suite 291,Allenfort,Utah,H,61.0,611.0,6111.0,Federal and Federally-Sponsored Credit Agencies
2350,"Lane, Hernandez and Holden",18995 Kennedy Views,Lake Michaelburgh,Wisconsin,C,15.0,152.0,1521.0,General Contractors-Single-Family Houses
2351,Crawford and Sons,39565 Phillips Estates Apt. 867,Whiteberg,Indiana,F,50.0,506.0,5063.0,"Electrical Apparatus and Equipment Wiring Supplies, and Construction Materials"
2352,Lewis-Johnson,9303 Ferrell Vista,West Angelaview,Nebraska,D,33.0,336.0,3366.0,Copper Foundries
2353,"Tran, Young and Miller",4860 Edwards Point Apt. 154,,North Dakota,E,45.0,458.0,,"Airports, Flying Fields, and Airport Terminal Services"
2354,Mullen and Sons,,Sheppardhaven,Nebraska,I,79.0,799.0,7992.0,Public Golf Courses
2355,Fisher-Moss,5590 Michelle Estates Suite 035,East James,Montana,D,23.0,,2341.0,"Women's, Misses', Children's, and Infants' Underwear and Nightwear"
2356,Fields Ltd,164 Tyler Lake Suite 254,North Nicoleton,Kentucky,I,72.0,,7212.0,"Garment Pressing, and Agents for Laundries and Drycleaners"
2357,Morgan-Meyer,712 James Wall Apt. 875,Kimbury,Kentucky,I,73.0,735.0,7353.0,Heavy Construction Equipment Rental and Leasing
2358,Diaz PLC,195 Khan Passage,Davilaville,Mississippi,D,35.0,354.0,3548.0,Electric and Gas Welding and Soldering Equipment
2359,"Coleman, Gomez and Glover",15386 Amanda Falls Apt. 702,New Yolanda,Delaware,I,87.0,874.0,8742.0,Management Consulting Services
2360,"Turner, Clark and Lucero",150 White Vista,New Erin,Idaho,D,34.0,349.0,3493.0,"Steel Springs, Except Wire"
2361,Hale-Sims,098 Mark Island Suite 794,Sharonshire,Wyoming,D,28.0,281.0,2819.0,"Industrial Inorganic Chemicals, Not Elsewhere Classified"
2362,"Carrillo, Miles and Haynes",8082 Samuel Park Suite 195,South Neilstad,Minnesota,D,28.0,287.0,2879.0,"Pesticides and Agricultural Chemicals, Not Elsewhere Classified"
2363,Carr and Sons,66323 Herrera Spring Suite 852,Alexismouth,Vermont,I,75.0,753.0,7533.0,Automotive Exhaust System Repair Shops
2364,Carney Inc,019 Levi Crossroad,Meltonburgh,,F,50.0,509.0,5091.0,Sporting and Recreational Goods and Supplies
2365,"King, Green and Koch",1297 Crystal Corner Suite 194,Smithchester,Wyoming,D,33.0,331.0,3313.0,"Electrometallurgical Products, Except Steel"
2366,Santiago Group,92929 Vargas Islands Suite 563,Jessicaton,New York,H,60.0,603.0,6036.0,"Savings Institutions, Not Federally Chartered"
2367,Lewis and Sons,490 Morrison Roads,Crystalfort,Vermont,I,75.0,752.0,,Automobile Parking
2368,"Anderson, Graves and Jensen",5433 Christian Creek,Victorville,Kentucky,D,36.0,361.0,3613.0,Switchgear and Switchboard Apparatus
2369,Hutchinson-Dixon,,West Bobbyshire,Alabama,D,33.0,332.0,3321.0,Gray and Ductile Iron Foundries
2370,Phelps-Moore,225 Mccann Turnpike Suite 969,Lake Theresa,Minnesota,,7.0,78.0,781.0,Landscape Counseling and Planning
2371,"Schultz, Williams and Henderson",8300 Meghan Street,Port Carolinestad,Connecticut,H,63.0,631.0,6311.0,Life Insurance
2372,Mitchell-Young,370 Robert Springs Suite 173,Victoriaport,South Dakota,G,59.0,599.0,5992.0,Florists
2373,Mckenzie-Lopez,92804 Small Skyway Apt. 637,Duncanbury,Virginia,H,61.0,615.0,6159.0,Miscellaneous business Credit Institutions
2374,"Rice, Jones and Martin",226 Kimberly Place Apt. 514,Gilmoreville,New Hampshire,I,75.0,751.0,7519.0,Utility Trailer and Recreational Vehicle Rental
2375,Thompson and Sons,5230 Charles Way,South Seanland,Illinois,,,972.0,9721.0,International Affairs
2376,Collier-Brown,792 Lopez Drive Suite 696,West Laurenville,Washington,G,57.0,573.0,5731.0,"Radio, Television, and Consumer Electronics Stores"
2377,"Brown, Smith and Freeman",378 Martinez Ford Apt. 647,Lake Edwardbury,Michigan,D,25.0,259.0,2591.0,Drapery Hardware and Window Blinds and Shades
2378,Gonzalez-Green,9690 Gregory Island Apt. 349,Port Jeffreyburgh,Tennessee,C,15.0,153.0,1531.0,Operative Builders
2379,Owen Inc,1265 Thompson Loaf,North Paulafort,Arizona,D,28.0,289.0,2893.0,Printing Ink
2380,Dawson-Holland,42092 Aguilar Plaza,Johnsonview,Oklahoma,C,17.0,175.0,1751.0,Carpentry Work
2381,Morales Group,7600 Fleming Parkway Apt. 037,Lozanoside,Oklahoma,H,60.0,603.0,6035.0,"Savings Institutions, Federally Chartered"
2382,Evans PLC,432 Mccoy Extension Apt. 573,Wilsonfort,New Hampshire,I,75.0,751.0,7513.0,
2383,Gill Inc,144 Tracy Plains Suite 404,Edwinfort,North Carolina,,33.0,331.0,3313.0,"Electrometallurgical Products, Except Steel"
2384,"Perry, Johnson and Hernandez",24974 Nichols Road,Jeremiahstad,California,D,37.0,373.0,3732.0,Boat Building and Repairing
2385,,2714 Mullins Mews Suite 771,Juanhaven,South Dakota,D,35.0,359.0,3596.0,"Scales and Balances, Except Laboratory"
2386,Harding Group,053 Davis Bridge Apt. 366,Carlyport,Hawaii,D,26.0,262.0,,Paper Mills
2387,Rodriguez Ltd,,Alexandershire,Missouri,D,33.0,332.0,3324.0,Steel Investment Foundries
2388,Simpson-Kline,4565 Brian Island Suite 985,Port Megan,California,D,20.0,204.0,2045.0,Prepared Flour Mixes and Doughs
2389,"Hughes, Pierce and Brooks",45579 Ward Vista,South Heathermouth,Minnesota,D,22.0,229.0,2297.0,Non-woven Fabrics
2390,Harrison-Lee,948 Brandi Curve,West Bonnie,North Dakota,E,42.0,422.0,4225.0,General Warehousing and Storage
2391,Fisher Ltd,9809 Pugh Road,East Tiffanymouth,Massachusetts,D,37.0,371.0,3715.0,Truck Trailers
2392,Parker-Rogers,60855 Cunningham Ways,Lake Kimberly,Wyoming,D,38.0,385.0,3851.0,Ophthalmic Goods
2393,Williams-Hunt,7408 Nathan Divide,Morganchester,North Dakota,D,22.0,225.0,2254.0,Knit Underwear and Nightwear Mills
2394,Hebert-Avila,3350 Kelly Mall,Macdonaldport,Rhode Island,D,22.0,223.0,2231.0,"Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing)"
2395,"Diaz, Blair and Black",2692 Williams Radial Suite 679,East Nicholasfurt,California,D,,314.0,3142.0,House Slippers
2396,"Mora, Gardner and Jenkins",840 Barrett Passage Suite 274,Stephaniefort,New York,I,73.0,731.0,7313.0,"Radio, Television, and Publishers' Advertising Representatives"
2397,Clay LLC,87014 Lauren Stravenue,South Jeremy,Nevada,G,54.0,541.0,5411.0,Grocery Stores
2398,Patrick-Williams,75421 Kristen Plaza Suite 747,North Kirsten,Massachusetts,D,32.0,327.0,3271.0,Concrete Block and Brick
2399,"Cantrell, Silva and Lara",975 Nicole Skyway,New Jacob,Nebraska,I,87.0,872.0,,"Accounting, Auditing, and Bookkeeping Services"
2400,"Long, Schmidt and Howard",8406 Baker Lake Apt. 899,Curtisbury,Missouri,D,34.0,,3441.0,
2401,Johnson and Sons,72438 Ramos Corner,Taylorchester,Virginia,C,15.0,154.0,1541.0,General Contractors-Industrial Buildings and Warehouses
2402,"Turner, Allen and Patel",2171 Christopher Dam Suite 580,Yorkland,Massachusetts,D,24.0,,2451.0,Mobile Homes
2403,"Johnson, Bates and Cherry",78512 Erickson Lodge Suite 033,East Damonport,Illinois,D,26.0,262.0,2621.0,Paper Mills
2404,Ramos-Lewis,26799 Timothy Court,Lorettaland,New Jersey,D,27.0,275.0,2759.0,"Commercial Printing, Not Elsewhere Classified"
2405,"Hanna, Powell and Brown",8604 Martin Key,New Dave,New Hampshire,,13.0,138.0,,Drilling Oil and Gas Wells
2406,Harris PLC,784 Johns Ridges,Johntown,New Mexico,G,56.0,561.0,5611.0,Men's and Boys' Clothing and Accessory Stores
2407,"Freeman, Garcia and Robinson",21149 Cheryl Pines Suite 484,Harriston,New Mexico,I,83.0,832.0,8322.0,Individual and Family Social Services
2408,Anderson-Morales,540 Wheeler Trail,Mcfarlandmouth,Wisconsin,D,20.0,208.0,2087.0,"Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified"
2409,"Powell, Ashley and Adams",7707 Jarvis Square Apt. 800,West Tracy,Nebraska,E,48.0,483.0,4833.0,Television Broadcasting Stations
2410,Brown Ltd,997 Megan Terrace Suite 636,Josephburgh,Kansas,I,80.0,809.0,,"Specialty Outpatient Facilities, Not Elsewhere Classified"
2411,Hudson PLC,1240 Myers Union Apt. 131,Jasonmouth,Minnesota,A,2.0,27.0,272.0,Horses and Other Equines
2412,"Hart, English and Patel",3914 Allison Curve Apt. 710,North Kimberly,Connecticut,D,27.0,275.0,2754.0,"Commercial Printing, Gravure"
2413,Wade-Figueroa,26539 Amy Rue,Port Kimberly,Michigan,D,23.0,236.0,2361.0,"Girls', Children's, and Infants' Dresses, Blouses, and Shirts"
2414,Hatfield-Key,6866 Monique Canyon,North Jamesburgh,North Carolina,F,50.0,502.0,5023.0,Home furnishings
